ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688707.SH,20240607,10.65,10.69,10.3,10.53,10.46,0.07,0.6692,34797.49,36574.017
688707.SH,20240606,11.25,11.33,10.28,10.46,11.25,-0.79,-7.0222,78081.59,82889.1
688707.SH,20240605,11.24,11.45,11.18,11.25,11.3,-0.05,-0.4425,26213.77,29707.799
688707.SH,20240604,11.58,11.6,11.1,11.3,11.63,-0.33,-2.8375,36526.35,41211.665
688707.SH,20240603,11.91,11.92,11.5,11.63,11.91,-0.28,-2.351,35368.85,41135.201
688707.SH,20240531,11.98,12.1,11.88,11.91,11.92,-0.01,-0.0839,21916.9,26269.977
688707.SH,20240530,11.93,12.02,11.82,11.92,11.94,-0.02,-0.1675,22138.41,26387.973
688707.SH,20240529,11.7,12.15,11.68,11.94,11.7,0.24,2.0513,38716.7,46367.533
688707.SH,20240528,11.78,11.88,11.61,11.7,11.8,-0.1,-0.8475,23983.07,28145.349
688707.SH,20240527,11.84,11.97,11.47,11.8,11.84,-0.04,-0.3378,39469.1,45919.876
688707.SH,20240524,12.04,12.23,11.81,11.84,12.15,-0.31,-2.5514,33083.65,39572.882
688707.SH,20240523,12.54,12.54,12.07,12.15,12.54,-0.39,-3.11,43569.25,53196.751
688707.SH,20240522,12.22,12.66,12.22,12.54,12.34,0.2,1.6207,35105.89,43824.112
688707.SH,20240521,12.68,12.73,12.25,12.34,12.65,-0.31,-2.4506,35096.88,43527.489
688707.SH,20240520,12.71,13.08,12.62,12.65,12.68,-0.03,-0.2366,37086.98,47448.636
688707.SH,20240517,12.51,12.74,12.31,12.68,12.53,0.15,1.1971,42423.16,52971.102
688707.SH,20240516,12.62,12.85,12.5,12.53,12.67,-0.14,-1.105,38463.35,48664.055
688707.SH,20240515,12.7,12.82,12.55,12.67,12.7,-0.03,-0.2362,32136.89,40722.278
688707.SH,20240514,12.75,12.96,12.66,12.7,12.78,-0.08,-0.626,34932.35,44541.033
688707.SH,20240513,13.14,13.14,12.69,12.78,13.29,-0.51,-3.8375,53013.95,68164.409
688707.SH,20240510,13.91,13.97,13.23,13.29,13.9,-0.61,-4.3885,62030.93,83330.034
688707.SH,20240509,13.65,14.26,13.51,13.9,13.4,0.5,3.7313,78077.34,109323.899
688707.SH,20240508,13.9,13.99,13.38,13.4,13.84,-0.44,-3.1792,54649.41,74490.769
688707.SH,20240507,13.5,14.1,13.5,13.84,13.52,0.32,2.3669,73278.58,101255.866
688707.SH,20240506,13.18,13.66,13.17,13.52,12.95,0.57,4.4015,54764.26,73787.708
688707.SH,20240430,13.31,13.46,12.83,12.95,13.36,-0.41,-3.0689,51599.09,67308.294
688707.SH,20240429,12.4,13.5,12.35,13.36,12.46,0.9,7.2231,90626.15,119165.717
688707.SH,20240426,12.01,12.56,11.89,12.46,12.08,0.38,3.1457,61410.81,75196.126
688707.SH,20240425,11.81,12.35,11.72,12.08,11.87,0.21,1.7692,62407.36,75665.888
688707.SH,20240424,11.88,12.04,11.67,11.87,11.92,-0.05,-0.4195,53781.61,63658.423
