ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301232.SZ,20240607,28.0,28.49,26.3,26.77,28.2,-1.43,-5.0709,23085.75,62841.903
301232.SZ,20240606,29.47,29.61,26.1,28.2,30.71,-2.51,-8.1732,41749.42,116778.638
301232.SZ,20240605,43.96,44.69,42.92,43.2,43.2,0.0,0.0,26736.11,116992.079
301232.SZ,20240604,43.95,46.08,42.45,43.2,45.69,-2.49,-5.4498,32107.38,139969.402
301232.SZ,20240603,48.8,48.99,44.46,45.69,49.08,-3.39,-6.9071,50444.63,235138.757
301232.SZ,20240531,43.37,49.08,41.91,49.08,40.9,8.18,20.0,54165.84,248185.549
301232.SZ,20240530,38.11,41.58,37.4,40.9,38.14,2.76,7.2365,24860.11,99368.019
301232.SZ,20240529,38.12,39.21,37.8,38.14,38.12,0.02,0.0525,8369.5,32135.896
301232.SZ,20240528,37.6,39.8,37.04,38.12,37.04,1.08,2.9158,12237.12,47303.912
301232.SZ,20240527,37.8,37.8,36.5,37.04,37.3,-0.26,-0.6971,4674.92,17264.537
301232.SZ,20240524,38.33,38.74,37.06,37.3,38.79,-1.49,-3.8412,8569.0,32341.861
301232.SZ,20240523,38.48,40.13,38.15,38.79,38.31,0.48,1.2529,12019.75,46962.358
301232.SZ,20240522,37.96,38.59,37.44,38.31,37.98,0.33,0.8689,6149.0,23529.765
301232.SZ,20240521,39.5,39.5,37.88,37.98,39.76,-1.78,-4.4769,10153.57,38897.452
301232.SZ,20240520,38.9,41.59,38.81,39.76,39.27,0.49,1.2478,12938.13,51975.992
301232.SZ,20240517,38.43,39.88,38.1,39.27,38.23,1.04,2.7204,11031.77,43016.571
301232.SZ,20240516,37.88,39.1,37.88,38.23,38.42,-0.19,-0.4945,6834.3,26368.74
301232.SZ,20240515,38.19,39.3,37.73,38.42,38.47,-0.05,-0.13,8733.62,33731.92
301232.SZ,20240514,39.5,39.88,38.31,38.47,39.3,-0.83,-2.112,10854.27,42189.303
301232.SZ,20240513,40.82,40.87,39.0,39.3,42.03,-2.73,-6.4954,16389.12,64861.736
301232.SZ,20240510,43.6,44.93,40.71,42.03,42.8,-0.77,-1.7991,23783.26,102771.283
301232.SZ,20240509,41.23,43.98,40.51,42.8,42.4,0.4,0.9434,25939.82,109305.449
301232.SZ,20240508,38.62,42.4,37.98,42.4,38.84,3.56,9.1658,30356.19,122368.699
301232.SZ,20240507,36.86,39.59,36.55,38.84,36.86,1.98,5.3717,19815.22,76600.819
301232.SZ,20240506,36.6,37.25,36.46,36.86,36.16,0.7,1.9358,5796.65,21382.075
301232.SZ,20240430,37.36,37.73,35.7,36.16,37.4,-1.24,-3.3155,8302.06,30217.967
301232.SZ,20240429,36.5,37.61,36.38,37.4,36.73,0.67,1.8241,8643.25,32146.553
301232.SZ,20240426,35.59,37.36,34.88,36.73,39.68,-2.95,-7.4345,18477.46,67159.416
301232.SZ,20240425,39.51,40.4,39.2,39.68,39.6,0.08,0.202,7955.56,31615.005
301232.SZ,20240424,37.95,40.28,37.95,39.6,38.28,1.32,3.4483,9047.88,35628.152
301232.SZ,20240423,37.72,38.98,37.25,38.28,37.9,0.38,1.0026,7164.33,27379.86
301232.SZ,20240422,36.7,38.5,35.53,37.9,36.72,1.18,3.2135,8659.8,32285.831
301232.SZ,20240419,36.88,37.49,36.39,36.72,37.35,-0.63,-1.6867,6485.69,23851.57
301232.SZ,20240418,37.51,38.22,36.82,37.35,37.81,-0.46,-1.2166,7539.65,28235.536
301232.SZ,20240417,35.67,37.85,35.67,37.81,34.67,3.14,9.0568,8966.79,33233.347
301232.SZ,20240416,38.2,38.2,34.0,34.67,38.54,-3.87,-10.0415,10260.7,36606.633
301232.SZ,20240415,40.81,41.88,37.93,38.54,41.22,-2.68,-6.5017,10957.24,43344.333
301232.SZ,20240412,42.45,43.32,40.94,41.22,42.8,-1.58,-3.6916,12190.56,50894.249
301232.SZ,20240411,45.62,45.62,42.66,42.8,45.62,-2.82,-6.1815,16397.22,71122.115
301232.SZ,20240410,47.0,48.8,45.58,45.62,47.21,-1.59,-3.3679,21160.87,99776.436
301232.SZ,20240409,45.17,47.28,44.67,47.21,45.65,1.56,3.4173,22045.25,102587.336
301232.SZ,20240408,44.6,45.77,43.51,45.65,44.72,0.93,2.0796,17467.15,78222.829
301232.SZ,20240403,46.0,46.5,44.45,44.72,46.7,-1.98,-4.2398,18481.89,83165.953
301232.SZ,20240402,46.99,47.96,45.76,46.7,47.95,-1.25,-2.6069,28088.12,131183.904
301232.SZ,20240401,50.4,50.48,46.8,47.95,49.86,-1.91,-3.8307,49524.06,236871.948
301232.SZ,20240329,40.09,49.86,40.09,49.86,41.55,8.31,20.0,54131.66,260577.989
301232.SZ,20240328,38.87,43.0,38.87,41.55,39.04,2.51,6.4293,12918.4,53368.304
301232.SZ,20240327,39.95,40.3,38.97,39.04,39.88,-0.84,-2.1063,5003.09,19775.672
301232.SZ,20240326,39.21,39.98,39.04,39.88,39.29,0.59,1.5017,4698.6,18606.24
301232.SZ,20240325,41.6,41.75,39.29,39.29,42.0,-2.71,-6.4524,10035.44,40495.528
301232.SZ,20240322,43.0,43.21,41.5,42.0,44.18,-2.18,-4.9344,15158.55,63921.362
301232.SZ,20240321,42.45,46.86,41.23,44.18,42.09,2.09,4.9656,19414.46,84776.326
301232.SZ,20240320,41.8,42.09,41.5,42.09,41.9,0.19,0.4535,6001.61,25101.275
301232.SZ,20240319,42.31,42.75,41.87,41.9,42.27,-0.37,-0.8753,6947.32,29354.771
301232.SZ,20240318,41.36,42.27,41.25,42.27,41.58,0.69,1.6595,8546.4,35762.2
301232.SZ,20240315,41.53,41.62,40.73,41.58,40.91,0.67,1.6377,8173.98,33772.039
301232.SZ,20240314,40.75,41.3,39.88,40.91,40.99,-0.08,-0.1952,5511.65,22357.885
301232.SZ,20240313,41.01,41.49,40.83,40.99,41.15,-0.16,-0.3888,5432.46,22371.481
301232.SZ,20240312,40.5,41.5,40.5,41.15,40.6,0.55,1.3547,6691.9,27406.295
301232.SZ,20240311,39.89,40.92,39.89,40.6,40.31,0.29,0.7194,6132.55,24807.92
301232.SZ,20240308,41.13,41.13,39.6,40.31,40.33,-0.02,-0.0496,6108.2,24536.819
301232.SZ,20240307,39.88,41.68,39.31,40.33,40.3,0.03,0.0744,9673.22,39045.56
301232.SZ,20240306,38.3,40.71,38.16,40.3,39.03,1.27,3.2539,9893.98,39508.645
301232.SZ,20240305,40.38,40.38,39.02,39.03,39.7,-0.67,-1.6877,6153.76,24365.496
301232.SZ,20240304,38.91,39.7,38.09,39.7,39.2,0.5,1.2755,6767.46,26351.371
301232.SZ,20240301,39.1,39.77,38.79,39.2,39.15,0.05,0.1277,7958.06,31214.326
301232.SZ,20240229,37.53,39.94,37.34,39.15,37.23,1.92,5.1571,10027.96,38766.098
301232.SZ,20240228,42.1,42.59,37.23,37.23,42.8,-5.57,-13.014,17950.4,72487.93
301232.SZ,20240227,42.06,43.97,40.61,42.8,42.45,0.35,0.8245,19050.51,81179.033
301232.SZ,20240226,39.47,43.5,38.8,42.45,38.78,3.67,9.4636,19656.85,81804.022
301232.SZ,20240223,36.69,38.78,36.3,38.78,35.98,2.8,7.7821,13533.75,50792.731
301232.SZ,20240222,35.08,35.98,34.91,35.98,35.14,0.84,2.3904,5521.14,19677.331
301232.SZ,20240221,34.4,36.12,34.02,35.14,34.71,0.43,1.2388,5875.38,20827.982
301232.SZ,20240220,34.29,34.81,33.52,34.71,34.29,0.42,1.2248,3502.9,12020.612
301232.SZ,20240219,33.11,34.79,33.1,34.29,33.19,1.1,3.3143,5770.43,19638.711
301232.SZ,20240208,30.1,33.36,29.8,33.19,30.05,3.14,10.4493,6642.4,21200.631
301232.SZ,20240207,30.85,31.22,29.5,30.05,30.85,-0.8,-2.5932,5643.43,17151.207
301232.SZ,20240206,29.8,32.09,28.08,30.85,30.45,0.4,1.3136,6331.35,19135.011
301232.SZ,20240205,34.49,34.5,29.53,30.45,35.01,-4.56,-13.0249,8326.41,26197.997
301232.SZ,20240202,37.29,37.79,34.07,35.01,36.56,-1.55,-4.2396,6163.95,22309.895
301232.SZ,20240201,36.6,36.91,35.9,36.56,36.88,-0.32,-0.8677,4215.59,15378.839
301232.SZ,20240131,39.12,39.12,36.66,36.88,38.83,-1.95,-5.0219,4414.68,16659.351
301232.SZ,20240130,40.22,40.72,38.7,38.83,40.51,-1.68,-4.1471,4782.5,18867.091
301232.SZ,20240129,42.1,44.44,40.45,40.51,41.58,-1.07,-2.5734,6581.3,27643.02
301232.SZ,20240126,42.81,42.81,41.54,41.58,41.98,-0.4,-0.9528,4887.45,20637.293
301232.SZ,20240125,40.6,42.0,39.87,41.98,40.48,1.5,3.7055,5543.23,22861.746
301232.SZ,20240124,40.85,40.85,38.99,40.48,40.26,0.22,0.5464,4935.66,19724.63
301232.SZ,20240123,40.39,40.88,39.5,40.26,40.38,-0.12,-0.2972,4829.74,19386.192
301232.SZ,20240122,42.8,42.83,40.0,40.38,42.74,-2.36,-5.5218,4856.3,20143.219
301232.SZ,20240119,43.73,43.93,42.5,42.74,43.74,-1.0,-2.2862,4811.55,20738.321
301232.SZ,20240118,44.45,44.77,42.83,43.74,44.89,-1.15,-2.5618,6441.21,28056.688
301232.SZ,20240117,46.0,46.12,44.65,44.89,46.08,-1.19,-2.5825,3476.9,15789.962
301232.SZ,20240116,46.28,46.5,45.2,46.08,46.3,-0.22,-0.4752,3879.42,17803.763
301232.SZ,20240115,46.64,46.99,45.9,46.3,46.97,-0.67,-1.4264,3960.11,18353.699
301232.SZ,20240112,47.2,48.08,46.93,46.97,47.12,-0.15,-0.3183,5169.93,24594.356
301232.SZ,20240111,46.26,47.3,46.09,47.12,46.5,0.62,1.3333,4637.75,21670.673
301232.SZ,20240110,46.8,47.36,46.06,46.5,47.0,-0.5,-1.0638,4256.01,19866.658
301232.SZ,20240109,46.7,47.95,46.39,47.0,46.21,0.79,1.7096,5735.76,27112.674
301232.SZ,20240108,47.03,47.3,46.15,46.21,47.03,-0.82,-1.7436,3979.98,18581.345
301232.SZ,20240105,47.37,48.3,46.68,47.03,47.4,-0.37,-0.7806,5725.1,27172.26
301232.SZ,20240104,47.55,47.85,47.3,47.4,47.78,-0.38,-0.7953,3063.18,14536.219
301232.SZ,20240103,48.51,48.67,47.23,47.78,48.51,-0.73,-1.5048,5162.54,24615.626
301232.SZ,20240102,48.62,48.99,48.2,48.51,48.49,0.02,0.0412,4790.97,23262.036
301232.SZ,20231229,48.2,49.76,48.0,48.49,48.34,0.15,0.3103,6897.13,33479.478
301232.SZ,20231228,45.6,48.83,45.32,48.34,45.65,2.69,5.8927,15310.84,73142.013
301232.SZ,20231227,44.88,45.96,44.59,45.65,45.03,0.62,1.3769,7198.44,32636.206
301232.SZ,20231226,47.54,47.54,44.56,45.03,47.35,-2.32,-4.8997,12236.32,55597.85
301232.SZ,20231225,48.3,48.79,47.29,47.35,48.3,-0.95,-1.9669,10992.74,52678.293
301232.SZ,20231222,48.94,49.78,48.04,48.3,49.52,-1.22,-2.4637,19316.87,94218.527
301232.SZ,20231221,50.67,50.67,48.54,49.52,51.19,-1.67,-3.2624,18092.93,89012.29
301232.SZ,20231220,47.52,51.98,47.52,51.19,47.5,3.69,7.7684,20679.3,103814.981
301232.SZ,20231219,47.31,47.57,46.81,47.5,47.16,0.34,0.7209,1769.95,8364.216
301232.SZ,20231218,48.0,48.01,47.11,47.16,47.93,-0.77,-1.6065,2475.36,11755.694
301232.SZ,20231215,47.88,48.32,47.55,47.93,47.77,0.16,0.3349,2426.85,11625.969
301232.SZ,20231214,48.08,48.61,47.77,47.77,48.18,-0.41,-0.851,2615.0,12567.24
301232.SZ,20231213,48.18,48.78,47.72,48.18,48.34,-0.16,-0.331,2821.89,13607.225
301232.SZ,20231212,48.18,48.5,47.69,48.34,48.2,0.14,0.2905,2728.0,13120.645
301232.SZ,20231211,47.62,48.36,47.02,48.2,47.6,0.6,1.2605,3543.78,16982.164
301232.SZ,20231208,48.4,48.65,47.6,47.6,48.1,-0.5,-1.0395,3780.01,18127.388
301232.SZ,20231207,48.8,48.84,47.9,48.1,48.87,-0.77,-1.5756,4308.03,20795.2
301232.SZ,20231206,49.06,49.7,48.87,48.87,49.03,-0.16,-0.3263,2336.0,11503.319
301232.SZ,20231205,49.9,50.02,49.02,49.03,49.91,-0.88,-1.7632,2529.0,12497.183
