ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688195.SH,20240607,23.5,24.27,23.28,23.59,23.35,0.24,1.0278,30877.47,73190.699
688195.SH,20240606,24.54,24.97,23.26,23.35,24.5,-1.15,-4.6939,38450.8,91482.023
688195.SH,20240605,24.77,25.32,24.41,24.5,24.89,-0.39,-1.5669,36734.98,91014.774
688195.SH,20240604,25.9,26.28,24.68,24.89,26.12,-1.23,-4.709,36862.55,92274.005
688195.SH,20240603,26.62,27.27,25.65,26.12,26.5,-0.38,-1.434,35852.09,94831.567
688195.SH,20240531,25.92,27.04,25.78,26.5,26.08,0.42,1.6104,24481.08,65184.883
688195.SH,20240530,25.75,26.44,25.33,26.08,25.94,0.14,0.5397,18855.4,49060.212
688195.SH,20240529,26.25,26.59,25.9,25.94,26.04,-0.1,-0.384,23968.21,62895.693
688195.SH,20240528,26.14,26.68,25.62,26.04,26.17,-0.13,-0.4968,34197.17,89399.866
688195.SH,20240527,26.52,26.78,24.7,26.17,26.85,-0.68,-2.5326,61308.04,155329.478
688195.SH,20240524,27.6,28.2,26.76,26.85,27.69,-0.84,-3.0336,36932.6,101489.475
688195.SH,20240523,28.32,28.66,27.51,27.69,28.08,-0.39,-1.3889,26816.69,74751.899
688195.SH,20240522,28.43,28.46,27.64,28.08,28.29,-0.21,-0.7423,30340.12,85035.082
688195.SH,20240521,28.89,29.21,28.2,28.29,29.3,-1.01,-3.4471,35214.29,100596.653
688195.SH,20240520,28.06,29.58,27.41,29.3,28.16,1.14,4.0483,64903.38,185559.283
688195.SH,20240517,27.3,28.5,26.77,28.16,27.5,0.66,2.4,54699.9,151780.344
688195.SH,20240516,27.4,28.3,27.09,27.5,26.89,0.61,2.2685,57149.57,158120.119
688195.SH,20240515,26.8,27.78,26.42,26.89,27.1,-0.21,-0.7749,32826.18,89248.155
688195.SH,20240514,26.99,27.94,26.82,27.1,27.02,0.08,0.2961,44046.9,120283.225
688195.SH,20240513,26.99,27.75,26.51,27.02,27.29,-0.27,-0.9894,48560.96,131181.446
688195.SH,20240510,28.35,28.47,27.08,27.29,28.28,-0.99,-3.5007,39551.81,108733.839
688195.SH,20240509,28.57,28.76,28.03,28.28,28.26,0.02,0.0708,37260.97,105816.338
688195.SH,20240508,29.0,29.07,28.0,28.26,29.36,-1.1,-3.7466,47035.01,133859.281
688195.SH,20240507,29.45,30.5,28.88,29.36,29.31,0.05,0.1706,49486.31,146829.185
688195.SH,20240506,29.3,29.79,28.5,29.31,29.41,-0.1,-0.34,63310.63,184710.421
688195.SH,20240430,30.19,31.0,29.29,29.41,30.19,-0.78,-2.5836,74469.5,222518.307
688195.SH,20240429,29.5,31.75,29.0,30.19,29.52,0.67,2.2696,129064.68,389815.582
688195.SH,20240426,26.54,29.77,26.41,29.52,26.1,3.42,13.1034,128426.32,365187.974
688195.SH,20240425,25.26,26.68,24.8,26.1,25.66,0.44,1.7147,64638.55,166210.629
688195.SH,20240424,24.2,25.96,24.03,25.66,23.76,1.9,7.9966,69034.61,174126.066
688195.SH,20240423,24.0,24.5,23.59,23.76,23.54,0.22,0.9346,25888.26,62161.852
688195.SH,20240422,22.4,23.94,22.38,23.54,24.32,-0.78,-3.2072,33589.76,77807.07
688195.SH,20240419,25.3,25.85,23.9,24.32,25.55,-1.23,-4.8141,56588.78,139036.348
688195.SH,20240418,25.93,26.5,24.8,25.55,26.3,-0.75,-2.8517,76234.22,195305.443
688195.SH,20240417,23.1,26.34,23.1,26.3,22.84,3.46,15.1489,67386.2,168376.065
688195.SH,20240416,23.8,23.8,21.6,22.84,23.99,-1.15,-4.7937,33787.1,76330.926
688195.SH,20240415,25.58,25.99,23.4,23.99,25.38,-1.39,-5.4768,40706.1,99791.464
688195.SH,20240412,24.53,26.47,24.53,25.38,24.47,0.91,3.7188,49549.93,126936.259
688195.SH,20240411,23.23,25.29,23.23,24.47,23.48,0.99,4.2164,40069.85,97545.877
688195.SH,20240410,24.82,25.0,23.4,23.48,24.86,-1.38,-5.5511,36460.41,87152.048
688195.SH,20240409,24.88,25.59,24.46,24.86,24.8,0.06,0.2419,33007.84,82518.176
688195.SH,20240408,25.83,26.19,24.8,24.8,25.8,-1.0,-3.876,40855.16,103274.045
688195.SH,20240403,28.0,28.02,25.2,25.8,28.03,-2.23,-7.9558,85676.89,224230.031
688195.SH,20240402,27.46,29.07,26.73,28.03,27.29,0.74,2.7116,109287.17,307341.705
688195.SH,20240401,25.41,27.96,25.41,27.29,25.36,1.93,7.6104,76591.0,204634.122
688195.SH,20240329,25.03,25.76,24.78,25.36,25.54,-0.18,-0.7048,43575.13,109722.878
