ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300881.SZ,20240607,24.65,24.85,24.24,24.71,24.2,0.51,2.1074,12633.7,31085.41
300881.SZ,20240606,25.2,25.59,23.98,24.2,25.36,-1.16,-4.5741,23539.22,57914.87
300881.SZ,20240605,26.09,26.18,25.32,25.36,26.0,-0.64,-2.4615,14726.68,37815.018
300881.SZ,20240604,25.57,26.08,24.9,26.0,25.55,0.45,1.7613,19290.1,49231.034
300881.SZ,20240603,26.0,26.13,25.26,25.55,26.41,-0.86,-3.2563,27972.1,71817.123
300881.SZ,20240531,27.4,27.85,26.41,26.41,27.66,-1.25,-4.5192,38038.12,102423.304
300881.SZ,20240530,28.4,30.3,27.31,27.66,27.97,-0.31,-1.1083,45433.29,131165.289
300881.SZ,20240529,28.8,28.92,28.13,28.52,29.12,-0.6,-2.0604,26697.56,75952.466
300881.SZ,20240528,27.4,29.2,27.4,29.12,27.73,1.39,5.0126,39534.37,112402.487
300881.SZ,20240527,27.17,28.15,27.0,27.73,27.7,0.03,0.1083,27432.57,75621.977
300881.SZ,20240524,28.74,29.2,27.52,27.7,28.28,-0.58,-2.0509,39747.8,112864.708
300881.SZ,20240523,29.31,30.3,27.89,28.28,30.0,-1.72,-5.7333,54630.46,157509.232
300881.SZ,20240522,28.39,31.28,28.12,30.0,28.65,1.35,4.712,71218.2,213760.877
300881.SZ,20240521,27.58,28.65,27.26,28.65,27.98,0.67,2.3946,51632.13,143842.514
300881.SZ,20240520,26.17,28.17,25.87,27.98,26.25,1.73,6.5905,63407.1,173563.206
300881.SZ,20240517,26.5,26.74,25.82,26.25,27.29,-1.04,-3.8109,43962.4,114785.803
300881.SZ,20240516,25.6,27.67,25.2,27.29,25.43,1.86,7.3142,56411.41,151023.963
300881.SZ,20240515,26.12,26.13,25.16,25.43,26.09,-0.66,-2.5297,16044.4,40959.153
300881.SZ,20240514,25.9,26.5,25.82,26.09,25.92,0.17,0.6559,12593.3,32903.109
300881.SZ,20240513,26.8,26.8,25.86,25.92,26.62,-0.7,-2.6296,18512.5,48331.006
300881.SZ,20240510,26.43,27.17,26.38,26.62,26.37,0.25,0.948,26053.0,69755.985
300881.SZ,20240509,25.96,26.57,25.78,26.37,25.96,0.41,1.5794,18884.3,49765.473
300881.SZ,20240508,27.1,27.1,25.62,25.96,27.11,-1.15,-4.242,29268.1,76640.476
300881.SZ,20240507,27.25,27.27,26.69,27.11,27.18,-0.07,-0.2575,23606.91,63660.341
300881.SZ,20240506,25.86,27.5,25.82,27.18,25.59,1.59,6.2134,44601.73,120069.613
300881.SZ,20240430,25.57,25.78,25.35,25.59,25.61,-0.02,-0.0781,19125.1,48941.879
300881.SZ,20240429,25.33,25.85,25.09,25.61,25.25,0.36,1.4257,24190.46,61736.101
300881.SZ,20240426,25.38,25.52,25.01,25.25,25.68,-0.43,-1.6745,23823.31,60121.935
300881.SZ,20240425,25.45,25.73,25.15,25.68,25.48,0.2,0.7849,20544.82,52375.752
300881.SZ,20240424,25.84,25.84,24.81,25.48,25.87,-0.39,-1.5075,28608.2,72271.469
300881.SZ,20240423,27.0,27.0,25.4,25.87,27.5,-1.63,-5.9273,45618.81,118618.807
300881.SZ,20240422,26.17,28.31,25.36,27.5,26.48,1.02,3.852,44012.2,117644.075
300881.SZ,20240419,25.89,27.25,25.8,26.48,26.18,0.3,1.1459,39167.7,104378.531
